id;name;acronym;state
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;MT
2;UNIVERSIDADE DE BRASÍLIA;UNB;DF
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;SE
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;AM
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;PI
6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;MG
7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;SP
8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;PR
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;PR
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;PE
12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;RS
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;RS
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;RS
15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;RJ
16;UNIVERSIDADE GAMA FILHO;UGF;RJ
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;MG
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;RS
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;SP
20;UNIVERSIDADE DE PASSO FUNDO;UPF;RS
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;RS
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE;SP
23;UNIVERSIDADE FEEVALE;FEEVALE;RS
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;BA
25;ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS;ENCE;RJ
26;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;MG
27;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;CE
28;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;MG
29;CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG;UTRAMIG;MG
30;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;AL
31;FACULDADE DE TECNOLOGIA DE SOROCABA;FATEC SO;SP
32;FACULDADE DE TECNOLOGIA DE SÃO PAULO;FATEC-SP;SP
33;FACULDADE DE TECNOLOGIA DE AMERICANA;FATEC-AM;SP
34;FACULDADE DE TECNOLOGIA RUBENS LARA;FATEC-BS;SP
35;FACULDADE DE TECNOLOGIA DE JAHU;FATEC-JAHU;SP
36;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA;PA
37;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;BA
38;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;SC
39;FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA;FECEA;PR
40;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;GO
41;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;SP
42;UNIVERSIDADE DE SÃO PAULO;USP;SP
43;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;SP
44;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;PR
45;FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO;FDSBC;SP
46;FACULDADE DE DIREITO DE FRANCA;FDF;SP
